,id,idYTMusic,colaboracion,subscriptores,views
Nicky Jam,59,UCMJ705HLB_EflTzWDAjcKSQ,"['Ozuna', 'Rauw Alejandro', 'J Balvin', 'Ozuna', 'Anuel AA', 'J Balvin', 'Dalex', 'Justin Quiles', 'Sech', 'Mau y Ricky', 'Ozuna', 'J Balvin', 'Enrique Iglesias', 'Luis Fonsi', 'Sebastián Yatra', 'Ozuna', 'Rauw Alejandro', 'Alex Sensation', 'J Balvin', 'Ozuna', 'Prince Royce', 'Jay Wheeler', 'Prince Royce', 'Jay Wheeler']",23.3M,"15,415,461,723 views"
Brytiago,60,UCoEnXQjMHQX-5EEjhDMMXtQ,['Darell'],5.28M,"3,158,253,607 views"
Dalex,61,UCXTtAAlWYj1RCVPZ-PYWoqA,"['Sech', 'Rich Music, Ltd']",6.13M,"4,007,221,583 views"
Los Legendarios,62,UCu9edbv_LWcPQTOmP4FpOtg,"['Jhayco', 'Wisin', 'Anuel AA']",55.6K,"165,997,573 views"
Feid,63,UCc3e8O2V5_7OA300ursDyFQ,['Justin Quiles'],3.79M,"3,332,004,697 views"
Sean Paul,64,UCnCNNA05VZcH8wVJYtC-6ew,"['J Balvin', 'J Balvin', 'J Balvin']",4.37M,"2,795,852,351 views"
DJ Luian,65,UC5UPgDCYyAxG8Yjq-0I_xTw,"['Mambo Kingz', 'Nicky Jam', 'Darell', 'Anuel AA', 'Nicky Jam', 'Darell', 'Anuel AA', 'Mambo Kingz', 'Ozuna', 'Mambo Kingz']",529K,No info
Marc Anthony,66,UC22hscWzcVvD_CEPiuaOIbQ,"['Will Smith', 'Bad Bunny']",6.69M,"6,119,211,287 views"
Piso 21,67,UCpe8GCklSIBcxULLHbhQwpQ,['Micro TDH'],7.57M,"6,683,370,149 views"
DJ Snake,68,UC0c4bK_92XYr0YtASqqWOJg,"['J Balvin', 'Tyga', 'J Balvin', 'Tyga']",23.9M,"8,022,856,910 views"
ChocQuibTown,69,UCZq8jIlmIqSeb079Hr80BEw,"['Becky G', 'Farruko', 'Zion & Lennox']",1.15M,"792,432,413 views"
Sech,70,UCXhOBsxGZ3TkeaYIW5LAHfA,"['Ozuna', 'Daddy Yankee']",9.74M,"5,569,417,405 views"
Almighty,71,UCRDGcK3rFRn6VImxBUQVanA,['Luar La L'],3.11M,"700,987,489 views"
TINI,72,UCBDXpukZYpWw54QCbEGdsZw,"['Becky G', 'Anitta']",8.02M,"3,872,872,950 views"
Jhanking,73,UCzW2_JGlRYb09uKyZ8uI_Zg,"['Lele Music', 'el goldo de las conec']",10.9K,No info
Trumpmoney,74,UCcOz_kTFH_rrLF47WVphoXQ,"['andres yuma', 'Vadi']",111K,No info
Randy,75,UCq5lNggfaWwSiM_W032Ac5A,"['De La Ghetto', 'Cazzu']",890K,No info
Reik,76,UCJ3jO8eOeYGrKNJ-TmQoV3w,"['Maria Becerra', 'Morat', 'Maluma', 'Maluma']",9.6M,"7,857,271,481 views"
Tiago PZK,77,UCjYEamX786QxvyO527ezaaw,"['Trueno', 'LIT killah', 'Maria Becerra', 'Nicki Nicole', 'Lit Killah']",3.98M,"1,490,424,538 views"
Abhir Hathi,78,UCYqIXahUqVJHiF_7Ca9kMDA,['EL IMA'],15.3K,No info
Prince Royce,79,UC1amDmVt3wHmB7zKpkmf3rg,"['Maria Becerra', 'Maria Becerra', 'Elvis Martinez', 'Shakira']",10M,"5,911,901,473 views"
Ñejo,80,UC73Rz2XUqTynb5plO5g1e_w,"['Ryan Castro', 'Andy Rivera']",2.53M,No info
Rei,81,UCxj1FOny1CnD6_P5vIygG4w,"['Quevedo', 'BANDIDO', 'Duki']",907K,No info
Rusherking,82,UC68p6YG34KOL19VezkzaLwA,['Dread Mar I'],2.13M,No info
Travis Scott,83,UCf_gP4AMRSgAfyzbkeS9k4g,['ROSALÍA'],16.4M,"7,544,418,079 views"
Pedro Capó,84,UCel_aU5VwTOSWlunrQ89UBQ,['Camilo'],6.79M,"3,393,764,808 views"
