Id,Label,colaboracion,subscriptores,views
155,Original Elias,['Alain Pérez'],164K,No info
156,Big Lois,['Alain Pérez'],35.5K,No info
157,Robin Schulz,['Oliver Tree'],3.6M,"3,664,164,075 views"
158,Daddy Yankee,"['Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'KAROL G', 'KAROL G', 'KAROL G', 'KAROL G', 'Myke Towers', 'Myke Towers', 'Myke Towers', 'Myke Towers', 'Natti Natasha', 'Wisin & Yandel', 'Wisin & Yandel', 'Wisin & Yandel', 'Wisin & Yandel', 'Wisin & Yandel', 'Ozuna', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Lunay', 'Lunay', 'Lunay', 'Lunay', 'Lunay', 'Lunay', 'J Balvin', 'J Balvin', 'Sech', 'Pacho El Antifeka']",37.4M,"21,471,227,425 views"
159,Pepe : Vizio,['Kiddo'],45.5K,No info
160,Delaossa,['Kiddo'],59.1K,No info
161,Chris Jedi,"['Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA']",2.63M,"1,819,662,128 views"
162,Gaby Music,"['Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA']",431,No info
163,Rapeton Approved,['Xyron'],131,No info
164,Aqua VS,['Tom Fomt'],12.1K,No info
165,Harry Nach,['Tom Fomt'],553K,No info
166,Darell,"['Anuel AA', 'Anuel AA', 'Blessd', 'Blessd', 'Blessd', 'Brytiago', 'DJ Luian', 'DJ Luian', 'El Alfa']",3.11M,"1,187,850,378 views"
167,Pablo Pesadilla,"['Fran C.', 'Fran C.', 'Fran C.']",146K,No info
168,Nickoog Clk,"['Fran C.', 'Fran C.', 'Fran C.']",354K,No info
169,Pailita,"['De La Ghetto', 'De La Ghetto']",796K,No info
170,Stars Music Chile,['Standly'],38.2K,No info
171,Chencho Corleone,"['Farruko', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Rauw Alejandro', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Maluma', 'Maluma', 'Maluma', 'Maluma', 'Maluma', 'Maluma', 'J Balvin']",748K,"223,982,963 views"
172,Adam Levine,['The Rudeboyz'],89.6K,"44,444,751 views"
173,Ñengo Flow,"['Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Anuel AA', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Tokischa']",4.23M,"1,314,925,303 views"
174,Jhay Cortez,"['Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny', 'Bad Bunny']",4.75M,"3,735,969,578 views"
175,DJ Nelson,['Myke Towers'],1.3M,"905,191,757 views"
176,Jay Wheeler,['Myke Towers'],4.81M,"2,760,738,417 views"
177,Natan & Shander,"['Crissin', 'Crissin']",24.7K,No info
178,Totoy El Frio,"['Crissin', 'Crissin']",65K,"17,040,400 views"
179,Mr. NaisGai,['Rauw Alejandro'],553,No info
180,Justin Quiles,"['Farruko', 'Farruko', 'Lenny Tavárez', 'Lenny Tavárez', 'Lenny Tavárez', 'Lenny Tavárez', 'Lenny Tavárez', 'Nicky Jam', 'Feid', 'Plan B']",4.52M,"3,804,289,578 views"
181,Paulo Londra,"['Becky G', 'Becky G']",22.2M,No info
182,"Rich Music, Ltd",[],,
183,Alejo,"['Robi', 'Robi', 'Robi']",14.9K,No info
184,Boza,[],,
185,Juhn,"['Myke Towers', 'Lunay', 'Lunay']",1.27M,No info
186,Randy Nota Loca,['Anuel AA'],195K,No info
187,Zion,"['Anuel AA', 'J Balvin', 'J Balvin', 'J Balvin', 'ChocQuibTown']",3.39M,"2,803,722,273 views"
188,Vf7,['Young Miko'],19.6K,No info
189,Álvaro Díaz,"['Rauw Alejandro', 'Rauw Alejandro']",334K,No info
190,Julieta Venegas,['Tainy'],1.42M,"1,134,892,144 views"
191,Amenazzy,"['Farruko', 'Farruko', 'Farruko', 'Santana The Golden Boy']",3.42M,"1,209,091,903 views"
192,Don Omar,['Farruko'],9.74M,"8,417,743,903 views"
193,Mambo Kingz,"['DJ Luian', 'DJ Luian', 'DJ Luian']",137K,No info
194,Will Smith,['Marc Anthony'],104K,"142,010,713 views"
195,Thalía,"['Natti Natasha', 'Natti Natasha', 'Natti Natasha']",7.3M,"5,276,079,212 views"
196,Micro TDH,['Piso 21'],3.72M,"1,471,067,346 views"
197,Tyga,"['DJ Snake', 'DJ Snake']",11.2M,"5,423,595,008 views"
198,Rvssian,"['Farruko', 'Farruko', 'Anuel AA']",28.2K,"76,866,890 views"
199,Mau y Ricky,"['Manuel Turizo', 'Manuel Turizo', 'Nicky Jam', 'Sebastián Yatra', 'Sebastián Yatra']",4.15M,"2,625,825,328 views"
200,TINI,['Becky G'],7.97M,"3,864,039,867 views"
201,Anitta,"['Becky G', 'Greeicy']",17M,"6,927,931,419 views"
202,andres yuma,['Trumpmoney'],0,No info
203,Vadi,[],,
204,Luar La L,['Almighty'],503K,No info
205,Cazzu,['Randy'],5.28M,"1,840,878,571 views"
206,EL IMA,['Abhir Hathi'],6.4K,No info
207,Dread Mar I,['Rusherking'],5.29M,No info
208,LIT killah,['Tiago PZK'],5.63M,No info
209,Nicki Nicole,['Tiago PZK'],4.29M,"1,015,488,269 views"
210,Camilo,"['Shakira', 'Manuel Turizo', 'Manuel Turizo', 'Ozuna', 'Pedro Capó', 'Evaluna Montaner']",15.6M,"6,364,238,747 views"
211,Dua Lipa,['Bad Bunny'],21.3M,"10,464,642,076 views"
212,Noriel,"['El Alfa', 'KHEA', 'KHEA', 'Santana The Golden Boy']",5.03M,"1,712,772,714 views"
213,Jennifer Lopez,"['Maluma', 'Bad Bunny']",15.9M,"9,791,852,280 views"
214,YAVIAH,['Bad Bunny'],33.3K,No info
215,Nacho,"['Chino & Nacho', 'Nacho']",5.73M,"2,892,018,001 views"
216,Simone & Simaria,['KAROL G'],11.4M,"4,622,826,199 views"
217,Juice WRLD,['Anuel AA'],10.6M,"5,257,022,782 views"
218,Zumbi,[],,
219,Morat,['Reik'],6.57M,"4,684,789,279 views"
220,Flow La Movie,['Nio Garcia'],5.95K,No info
221,Casper Magico,['Nio Garcia'],55.7K,No info
222,Black Eyed Peas,['J Balvin'],11.8M,"10,026,990,523 views"
223,GIMS,"['Maluma', 'Maluma']",10.8M,"6,000,073,615 views"
224,KEVVO,['Farruko'],382K,"165,727,670 views"
225,Demi Lovato,['Luis Fonsi'],17.8M,"6,660,881,875 views"
226,Enrique Iglesias,['Nicky Jam'],23.3M,"16,889,210,567 views"
227,Mariah Angeliq ,['KAROL G'],1.13M,No info
