artista,colaborador,duracion,explicito,visitas,fecha_publicacion,title
Nicky Jam,Mau y Ricky,223,False,67064628,2019/10/10,Bota Fuego (con Nicky Jam - Official Video)
Lenny Tavárez,Justin Quiles,180,False,85075755,2020/02/06,La Pared 360
Manuel Turizo,Feid,232,False,79606375,2020/02/13,BORRAXXA (Video Oficial)
Bad Bunny,Natti Natasha,234,False,472041071,2018/01/11,Amantes de una Noche
Bad Bunny,ROSALÍA,218,False,573437135,2021/02/14,LA NOCHE DE ANOCHE
Sech,Ozuna,206,False,202278545,2019/09/25,Si te vas
Bad Bunny,Tainy,252,False,1010533444,2019/05/31,Callaita
Manuel Turizo,Arcangel,190,False,46372693,2020/02/07,Hábitos
Anuel AA,Natti Natasha,274,False,385822396,2020/03/05,Fantasias (Remix) (feat. Lunay & Farruko)
Anuel AA,Rauw Alejandro,274,False,385822396,2020/03/05,Fantasias (Remix) (feat. Lunay & Farruko)
Farruko,Rauw Alejandro,198,False,565588360,2019/08/28,Fantasias
Bad Bunny,Sech,248,False,321111789,2020/02/13,Ignorantes
Dimelo Flow,Lenny Tavárez,222,False,200466221,2019/09/20,Quizás
Dimelo Flow,Wisin,222,False,200466221,2019/09/20,Quizás
Dimelo Flow,Dalex,222,False,200466221,2019/09/20,Quizás
Bad Bunny,J Balvin,225,False,365016506,2019/06/27,QUE PRETENDES (Official Video)
Almighty,Luar La L,235,False,1927816,2022/12/08,Anfetamina
Shakira,Ozuna,185,False,158322425,2022/10/19,Monotonía
Maluma,Chencho Corleone,239,False,50456269,2022/06/09,Nos Comemos Vivos (Official Video)
KAROL G,Ovy On The Drums,216,False,81370155,2022/11/13,Cairo
Anuel AA,Chris Jedi,221,False,14982342,2022/11/08,DURO (feat. Jenny La Sexy Voz)
Anuel AA,Gaby Music,221,False,14982342,2022/11/08,DURO (feat. Jenny La Sexy Voz)
Ptazeta,Emilia,229,False,30379867,2022/07/21,Quieres
Ptazeta,Aitana,229,False,30379867,2022/07/21,Quieres
TINI,Becky G,192,False,69210508,2022/07/06,La Loto (Official Video)
TINI,Anitta,192,False,69210508,2022/07/06,La Loto (Official Video)
Ñengo Flow,Bad Bunny,257,False,19769471,2022/12/22,Gato de Noche
Jhanking,Lele Music,180,False,22763,2022/12/14,Cancun
Jhanking,el goldo de las conec,180,False,22763,2022/12/14,Cancun
KAROL G,Maldy,222,False,259230826,2022/08/25,GATÚBELA
Quevedo,Bizarrap,204,False,417306738,2022/07/06,"Quevedo: Bzrp Music Sessions, Vol. 52"
Trumpmoney,andres yuma,132,False,53972,2022/12/01,La 40
Trumpmoney,Vadi,132,False,53972,2022/12/01,La 40
Quevedo,De La Ghetto,228,False,76026069,2022/03/31,Si Quieren Frontear
Quevedo,Duki,228,False,76026069,2022/03/31,Si Quieren Frontear
Randy,De La Ghetto,192,False,22768479,2022/08/08,Peli-Culeo
Randy,Cazzu,192,False,22768479,2022/08/08,Peli-Culeo
Belinda,Ana Mena,188,False,29775395,2022/06/16,LAS 12
Natti Natasha,Maria Becerra,206,False,21033748,2022/09/29,LOKITA
Blessd,Ryan Castro,168,False,123216585,2022/01/27,Quien TV Remix
KAROL G,Feid,145,False,114675902,2021/12/21,FRIKI (Official Video)
Reik,Maria Becerra,190,False,72318434,2021/11/24,Los Tragos
Anuel AA,MVSIS,200,False,20904763,2022/11/23,Si yo me muero
Tiago PZK,Trueno,213,False,152572910,2021/10/21,Salimo de Noche
Shakira,Rauw Alejandro,196,False,440329062,2022/04/21,Te Felicito
Rauw Alejandro,Baby Rasta,214,False,93293260,2022/09/24,PUNTO 40
Abhir Hathi,EL IMA,420,False,107010443,2022/01/13,Cayó La Noche (Remix) (feat. Abhir Hathi & EL IMA)
Jhayco,Mora,241,False,31026694,2022/06/15,MEMORIAS
ROSALÍA,Romeo Santos,266,False,26340616,2022/09/02,El Pañuelo (Official Video)
Rauw Alejandro,Lyanno,207,False,98619976,2022/07/25,LOKERA
Rauw Alejandro,Brray,207,False,98619976,2022/07/25,LOKERA
Jhayco,Feid,231,False,19298684,2022/10/20,En La De Ella
Jhayco,Sech,231,False,19298684,2022/10/20,En La De Ella
Prince Royce,Maria Becerra,254,False,69477056,2022/03/03,Te Espero (Official Video)
Ryan Castro,Feid,234,False,302929158,2021/11/12,Monastery
JC Reyes,Pablo Chill-E,370,False,33127369,2022/10/07,"34 AMOR Y MAFIA [REMIX] (feat. El Jincho, Camin, Harry Nach & Pedro Calderon)"
JC Reyes,Ecko,370,False,33127369,2022/10/07,"34 AMOR Y MAFIA [REMIX] (feat. El Jincho, Camin, Harry Nach & Pedro Calderon)"
Ñejo,Ryan Castro,208,False,60760564,2022/05/12,Monumento (Remix)
Ñejo,Andy Rivera,208,False,60760564,2022/05/12,Monumento (Remix)
Ozuna,Tokischa,208,False,60808670,2022/08/10,Somos Iguales (feat. Louchie Lou & Michie One)
Rei,Quevedo,193,False,68814169,2022/06/01,FERNET
Rusherking,Dread Mar I,170,False,27468467,2022/09/29,Perfecta
Anuel AA,Chris Jedi,256,False,181256199,2022/05/19,La Llevo Al Cielo (Official Video)
Anuel AA,Ñengo Flow,256,False,181256199,2022/05/19,La Llevo Al Cielo (Official Video)
Anuel AA,Chencho Corleone,256,False,181256199,2022/05/19,La Llevo Al Cielo (Official Video)
Tiago PZK,LIT killah,289,False,300235021,2022/01/05,Entre Nosotros (Remix)
